Keywords (Clem)
"January 1, 2026 - April 26, 2026"
Search keyword,Search keyword status,Search keyword match type,Campaign,Ad group,Quality Score,Ad relevance,Landing page exp.,Exp. CTR,Currency code,Cost,Impr.,Clicks,Conversions,Search impr. share,Search lost IS (rank),Impr. (Abs. Top) %,Impr. (Top) %
e commerce warehouse,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shopify fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shopify fulfillment service,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment warehouse,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
e fulfillment warehouse,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shopify fulfillment partners,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
magento fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment automation,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
bigcommerce fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shopify automatic fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shopify 3pl,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
top ecommerce fulfillment company,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
woocommerce order fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
order fulfillment service for ecommerce,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best ecommerce fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best ecommerce fulfillment companies,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best shopify fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shopify fulfillment center,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment partners,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment center for ecommerce,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment for ecommerce,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment center near me,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl ecommerce,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl ecommerce fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce and fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shopify fulfillment company,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
big commerce order fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
walmart ecommerce fulfillment center,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
woocommerce fulfillment services,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment center ecommerce,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
bigcommerce order fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best fulfillment for shopify,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best fulfillment services for shopify,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
online order fulfillment company,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
online order fulfillment provider,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
bigcommerce 3pl,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
woocommerce 3pl,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
order fulfillment for woocommerce,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
order fulfillment for ecommerce,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shopify fulfillment pricing,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best 3pl for ecommerce,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
outsourcing e commerce fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
e commerce fulfillment solutions,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
warehousing and order fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
e commerce warehousing services,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl for shopify,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce warehousing companies,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best 3pl companies for ecommerce,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
e commerce warehouse near me,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
magento fulfillment integration,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment companies for ecommerce,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best 3pl for shopify,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
online order fulfillment solution,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment services for shopify,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
warehousing shopify,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
omnichannel ecommerce fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best shopify 3pl,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shopify fulfillment orders,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
omni channel ecommerce fulfillment,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
e comm fulfillment 3pl,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
e commerce fulfillment pricing,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl e commerce fulfillment service,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
e commerce fulfillment systems,Not eligible,Phrase match,Services - Ecommerce Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
east coast fulfillment,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment, --, --, --, --,USD,22.18,23,2,0.00,< 10%,58.16%,38.10%,80.95%
east coast order fulfillment,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
east coast fulfillment warehouse,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment, --, --, --, --,USD,0.00,1,0,0.00,< 10%,33.33%,0,0
warehousing and distribution east coast,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment, --, --, --, --,USD,0.00,15,0,0.00,< 10%,66.46%,0.00%,33.33%
east coast 3pl services,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
east coast 3pl warehouse,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
east coast ecommerce fulfillment,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment, --, --, --, --,USD,0.00,7,0,0.00,11.76%,55.88%,25.00%,75.00%
ecommerce fulfillment east coast,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,80.00%,0,0
ecommerce fulfillment services east coast,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
east coast 3pl companies,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment, --, --, --, --,USD,0.00,5,0,0.00,< 10%,50.72%,0.00%,50.00%
east coast fulfillment pricing,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
east coast fulfillment companies,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment, --, --, --, --,USD,8.63,7,1,0.00,13.64%,50.00%,16.67%,100.00%
pick and pack east coast,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
east coast fulfilment,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,East Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
order fulfillment for woocommerce,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Woocommerce Fulfillment, --, --, --, --,USD,91.10,35,2,0.00,15.25%,69.51%,20.59%,61.76%
3pl woocommerce,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Woocommerce Fulfillment, --, --, --, --,USD,0.00,1,0,0.00,50.00%,50.00%,0.00%,100.00%
woocommerce 3pl fulfillment,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Woocommerce Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shoe fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shoe Fulfillment, --, --, --, --,USD,0.00,3,0,0.00,27.27%,63.64%,33.33%,66.67%
shoe 3pl,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shoe Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
footwear 3pl,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shoe Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
footwear fulillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shoe Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
apparel fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Apparel Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,83.33%,0,0
apparel fulfillment services,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Apparel Fulfillment, --, --, --, --,USD,0.00,3,0,0.00,66.67%,0.00%,0.00%,50.00%
apparel fulfillment center,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Apparel Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
apparel fulfillment company,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Apparel Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
apparel order fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Apparel Fulfillment, --, --, --, --,USD,40.18,44,3,0.00,21.68%,60.14%,22.58%,77.42%
apparel ecommerce fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Apparel Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
apparel 3pl companies,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Apparel Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
apparel ecommerce order fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Apparel Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
apparel warehouse services,Paused,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Apparel Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl apparel fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Apparel Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,50.00%,0,0
apparel warehousing company,Paused,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Apparel Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
clothing fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Clothing Fulfillment, --, --, --, --,USD,0.00,11,0,0.00,25.81%,48.39%,25.00%,100.00%
clothing fulfillment services,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Clothing Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
clothing fulfillment companies,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Clothing Fulfillment, --, --, --, --,USD,0.00,2,0,0.00,33.33%,66.67%,0.00%,100.00%
clothing distribution warehouse,Not eligible,Exact match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Clothing Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
clothing 3pl,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Clothing Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
clothing ecommerce fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Clothing Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl for clothing,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Clothing Fulfillment, --, --, --, --,USD,0.00,12,0,0.00,33.33%,43.33%,20.00%,90.00%
e fulfillment for clothes,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Clothing Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
clothing warehouse fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Clothing Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
t shirt fulfillment,Not eligible,Exact match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shirt Fulfillment, --, --, --, --,USD,6.96,4,1,0.00,60.00%,20.00%,66.67%,100.00%
t shirt fulfillment services,Not eligible,Exact match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shirt Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
tshirt fulfillment,Not eligible,Exact match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shirt Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
t shirt fulfillment companies,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shirt Fulfillment, --, --, --, --,USD,155.16,164,13,0.00,27.35%,52.35%,46.46%,89.76%
t shirt fulfillment center,Not eligible,Exact match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shirt Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best t shirt fulfillment service,Paused,Exact match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shirt Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
t shirt order fulfillment,Not eligible,Exact match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shirt Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shirt fulfillment,Not eligible,Exact match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shirt Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best t shirt fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shirt Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shopify t shirt fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shirt Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best t shirt fulfillment companies,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shirt Fulfillment, --, --, --, --,USD,9.28,18,1,0.00,23.08%,55.38%,66.67%,100.00%
etsy t shirt fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shirt Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
tee shirt fulfillment service,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Shirt Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
garment fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Garment Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
garment warehousing,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Garment Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
garment fulfillment services,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Garment Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
garment warehousing services,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Garment Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
garment fulfillment company,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Garment Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fashion fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Fashion Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,50.00%,0,0
fashion order fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Fashion Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fashion ecommerce fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Fashion Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fashion fulfillment services,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Fashion Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fashion ecommerce fulfilment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Fashion Fulfillment, --, --, --, --,USD,0.00,5,0,0.00,33.33%,66.67%,33.33%,100.00%
fashion fulfillment center,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Fashion Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fashion warehouse fulfillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM Apparel Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Fashion Fulfillment, --, --, --, --,USD,18.03,7,1,0.00,28.57%,66.67%,16.67%,66.67%
bigcommerce fulfillment,Not eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM Ecommerce Fulfillment Selling | Handled | Search | TDM – Experiment: Maximize Conversions,Bigcommerce Fulfillment, --, --, --, --,USD,0.00,6,0,0.00,35.29%,64.71%,0.00%,33.33%
big commerce order fulfillment,Not eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM Ecommerce Fulfillment Selling | Handled | Search | TDM – Experiment: Maximize Conversions,Bigcommerce Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
bigcommerce fulfillment center,Not eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM Ecommerce Fulfillment Selling | Handled | Search | TDM – Experiment: Maximize Conversions,Bigcommerce Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
bigcommerce fulfillment warehouse,Not eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM Ecommerce Fulfillment Selling | Handled | Search | TDM – Experiment: Maximize Conversions,Bigcommerce Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
bigcommerce order fulfillment,Not eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM Ecommerce Fulfillment Selling | Handled | Search | TDM – Experiment: Maximize Conversions,Bigcommerce Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
bigcommerce shipping fulfillment,Not eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM Ecommerce Fulfillment Selling | Handled | Search | TDM – Experiment: Maximize Conversions,Bigcommerce Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
bigcommerce 3pl,Not eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM Ecommerce Fulfillment Selling | Handled | Search | TDM – Experiment: Maximize Conversions,Bigcommerce Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
